unique_id,ds,TimeLLM
IBB,2024-06-02,131.24445
IBB,2024-06-03,132.69705
IBB,2024-06-04,130.50696
IBB,2024-06-05,129.80667
IBB,2024-06-06,133.53271
IBB,2024-06-07,132.1479
IBB,2024-06-08,132.35394
